接口名称,中文描述,类型,主要功能
bond_cb_jsl,可转债数据,债券相关,获取集思录可转债实时行情数据包括价格、溢价率等
bond_cb_redeem_jsl,可转债强赎信息,债券相关,获取可转债强赎相关信息数据
bond_cb_index_jsl,可转债指数,债券相关,获取集思录可转债等权指数历史数据
bond_cov_comparison,可转债比价,债券相关,获取可转债比价表数据用于可转债筛选
bond_cb_profile_sina,可转债详情,债券相关,获取新浪财经可转债详细资料信息
bond_cb_summary_sina,可转债概况,债券相关,获取新浪财经可转债基本概况数据
bond_china_yield,中国债券收益率,债券相关,获取中国债券信息网国债及其他债券收益率曲线数据
bond_composite_index_cbond,中债综合指数,债券相关,获取中债综合指数历史数据包括财富、净价等
bond_corporate_issue_cninfo,企业债发行,债券相关,获取巨潮资讯企业债发行信息数据
bond_cov_issue_cninfo,可转债发行,债券相关,获取巨潮资讯可转债发行信息数据
bond_china_close_return,债券收盘收益,债券相关,获取中国货币网债券收盘收益率曲线历史数据
fund_em_fund_name,基金基本信息,基金相关,获取东方财富公募基金基本信息列表
fund_em_open_fund_daily,开放式基金净值,基金相关,获取开放式公募基金每日净值数据
fund_em_open_fund_info,开放式基金信息,基金相关,获取开放式公募基金详细信息
fund_em_etf_fund_daily,ETF基金净值,基金相关,获取ETF基金每日净值数据
fund_em_money_fund_daily,货币基金收益,基金相关,获取货币基金每日万份收益和7日年化收益率
fund_em_hk_fund_daily,港股通基金净值,基金相关,获取港股通基金每日净值数据
fund_em_fund_rank,基金排行榜,基金相关,获取各类基金排行榜数据包括业绩、规模等
fund_portfolio_hold_em,基金持仓,基金相关,获取公募基金持仓明细数据
fund_manager_em,基金经理,基金相关,获取公募基金基金经理信息数据
index_stock_cons_sina,指数成分股,指数相关,获取新浪指数成分股列表数据
index_stock_cons_csindex,中证指数成分股,指数相关,获取中证指数公司指数成分股列表
index_stock_hist_sina,指数历史行情,指数相关,获取新浪指数历史行情数据
index_stock_info_sina,指数基本信息,指数相关,获取新浪指数基本信息列表
macro_china_cpi,中国CPI数据,宏观经济,获取中国居民消费价格指数(CPI)数据
macro_china_ppi,中国PPI数据,宏观经济,获取中国工业生产者出厂价格指数(PPI)数据
macro_china_gdp,中国GDP数据,宏观经济,获取中国国内生产总值(GDP)季度数据
macro_china_money_supply,中国货币供应量,宏观经济,获取中国货币供应量M0、M1、M2数据
macro_china_fdi,中国FDI数据,宏观经济,获取中国外商直接投资(FDI)数据
macro_china_trade_balance,中国贸易差额,宏观经济,获取中国进出口贸易差额数据
macro_china_shibor,中国SHIBOR利率,宏观经济,获取上海银行间同业拆放利率(SHIBOR)数据
macro_china_lpr,中国LPR利率,宏观经济,获取中国贷款市场报价利率(LPR)数据
futures_zh_spot,期货实时行情,期货相关,获取国内期货实时行情数据
futures_zh_daily,期货日线数据,期货相关,获取国内期货日线历史行情数据
futures_zh_minute,期货分钟数据,期货相关,获取国内期货分钟级别历史数据
futures_foreign_em,外盘期货,期货相关,获取外盘期货实时行情数据
futures_inventory_em,期货库存,期货相关,获取期货交易所库存数据
futures_roll_yield,展期收益率,期货相关,获取期货展期收益率数据
futures_sina_hold,期货持仓,期货相关,获取期货交易所持仓数据
option_sina_cffex_hs300_list,沪深300期权列表,期权相关,获取中金所沪深300股指期权合约列表
option_sina_sse_list,上证50期权列表,期权相关,获取上交所上证50ETF期权合约列表
option_sina_cffex_hs300_spot,沪深300期权行情,期权相关,获取中金所沪深300股指期权实时行情
option_sina_sse_spot,上证50期权行情,期权相关,获取上交所上证50ETF期权实时行情